source_file,source_dir,kind,node_id,role_in_rows,rows,run_id,assignment,evidence,issues
victim_NODE-20500DE71C38_linear_blackhole_r1_20260917_113512_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_20500DE71C38,blackhole,5862,UNASSIGNED,ambiguous,forwarded 241 probes in cooldown; 2 attacker files match run linear_blackhole_20260917_125131 equally - one board can't be in a run twice,filename says 'victim' but every row says role=blackhole
victim_NODE-20500DE71C38_linear_blackhole_r1_20260917_124523_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_20500DE71C38,blackhole,6503,UNASSIGNED,unassigned,forwarded 240 probes in cooldown; no root log in these folders agrees,filename says 'victim' but every row says role=blackhole
victim_NODE-2805A532D7B4_linear_blackhole_r1_20260917_124617_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_2805A532D7B4,victim,7419,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-704BCA25B768_linear_blackhole_r1_20260917_114118_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_704BCA25B768,victim,16086,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-704BCA25B768_linear_blackhole_r1_20260917_124854_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_704BCA25B768,victim,7366,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-B4BFE932FE90_linear_blackhole_r1_20260917_114009_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_B4BFE932FE90,victim,17204,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-B4BFE932FE90_linear_blackhole_r1_20260917_124749_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_B4BFE932FE90,victim,7150,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-B4BFE934ED80_linear_blackhole_r1_20260917_113913_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_B4BFE934ED80,victim,16783,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-F42DC973E618_linear_blackhole_r1_20260917_114210_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_F42DC973E618,victim,6378,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
victim_NODE-F42DC973E618_linear_blackhole_r1_20260917_124828_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep17\blackhole\linear\G402,telem,NODE_F42DC973E618,victim,6946,linear_blackhole_20260917_125131,assigned,seq at phase exit 443 vs root's last baseline seq 443; final seq 744 vs root max 744,
child_attacker-5_linear_blackhole_r1_20260918_101458_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE71C38,blackhole,722,UNASSIGNED,ambiguous,forwarded 241 probes in cooldown; 2 attacker files match run linear_blackhole_20260917_125131 equally - one board can't be in a run twice,
child_attacker-5_linear_blackhole_r1_20260918_130239_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE71C38,blackhole,7397,UNASSIGNED,unassigned,forwarded 723 probes in cooldown; no root log in these folders agrees,
child_child-10_linear_blackhole_r1_20260918_095842_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,,,0,UNASSIGNED,unassigned,,EMPTY FILE (0 bytes) - card file never written/closed
child_child-11_linear_blackhole_r1_20260918_095806_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,,,0,UNASSIGNED,unassigned,,EMPTY FILE (0 bytes) - card file never written/closed
child_child-6_linear_blackhole_r1_20260918_090242_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,,,0,UNASSIGNED,unassigned,,HEADER ONLY - no data rows
child_child-6_linear_blackhole_r1_20260918_130616_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE70C80,victim,7489,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
child_child-8_linear_blackhole_r1_20260918_095316_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,,,0,UNASSIGNED,unassigned,,EMPTY FILE (0 bytes) - card file never written/closed
child_child-8_linear_blackhole_r1_20260918_105952_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_704BCA25B768,victim,2960,linear_blackhole_20260918_111347,assigned,seq at phase exit 4 vs root's last baseline seq 3; final seq 304 vs root max 304,
child_child-9_linear_blackhole_r1_20260918_095501_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_2805A532D7B4,victim,14371,linear_blackhole_20260918_095950,assigned,seq at phase exit 1236 vs root's last baseline seq 1236; final seq 1537 vs root max 1537,
child_child-9_linear_blackhole_r1_20260918_105924_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_2805A532D7B4,victim,2905,linear_blackhole_20260918_111347,assigned,seq at phase exit 2 vs root's last baseline seq 2; final seq 303 vs root max 303,
root_ROOT_linear_blackhole_r1_20260918_095924_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_B0CBD8F33218,root,6282,linear_blackhole_20260918_095950,assigned,"same node_id, last probes_count 2924 == last probes_received",
root_ROOT_linear_blackhole_r1_20260918_095950_arrivals.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,arrivals,NODE_B0CBD8F33218,root,2924,linear_blackhole_20260918_095950,anchor,"root arrivals log, 2924 probes",
root_ROOT_linear_blackhole_r1_20260918_111340_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_B0CBD8F33218,root,6267,linear_blackhole_20260918_111347,assigned,"same node_id, last probes_count 745 == last probes_received",
root_ROOT_linear_blackhole_r1_20260918_111347_arrivals.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,arrivals,NODE_B0CBD8F33218,root,745,linear_blackhole_20260918_111347,anchor,"root arrivals log, 745 probes",
victim_NODE-20500DE70C80_linear_blackhole_r1_20260918_095617_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE70C80,victim,13877,linear_blackhole_20260918_095950,assigned,seq at phase exit 1162 vs root's last baseline seq 1162; final seq 1462 vs root max 1462,
victim_NODE-20500DE70C80_linear_blackhole_r1_20260918_110011_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE70C80,victim,6927,linear_blackhole_20260918_111347,assigned,seq at phase exit 404 vs root's last baseline seq 403; final seq 704 vs root max 704,
victim_NODE-20500DE71C38_linear_blackhole_r1_20260918_095431_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE71C38,blackhole,13414,linear_blackhole_20260918_095950,assigned (count only),forwarded 721 probes in cooldown == root's cooldown arrivals (weak: a design-driven count),filename says 'victim' but every row says role=blackhole
victim_NODE-20500DE71C38_linear_blackhole_r1_20260918_110143_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_20500DE71C38,blackhole,4710,linear_blackhole_20260918_111347,assigned (count only),forwarded 360 probes in cooldown == root's cooldown arrivals (weak: a design-driven count),filename says 'victim' but every row says role=blackhole
victim_NODE-F42DC973E618_linear_blackhole_r1_20260918_095710_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,,,0,UNASSIGNED,unassigned,,EMPTY FILE (0 bytes) - card file never written/closed
victim_NODE-F42DC973E618_linear_blackhole_r1_20260918_130445_telem.csv,C:/Users/Basti/AppData/Local/Temp/claude/s--My-Work-Business-Claude-AI-OS/d9445045-acd6-43e1-b41d-e42a249e6dae/scratchpad/audit/sep18,telem,NODE_F42DC973E618,victim,8554,UNASSIGNED,unassigned,"no root arrivals log carries this board's probes with a matching sequence range - its root file is missing, or none of its probes reached the root",
